id,created_date,context_length,pricing_prompt,pricing_request,max_completion_tokens,is_moderated
moonshotai/kimi-dev-72b:free,20250616,131072,0,0,,False
openai/o3-pro,20250610,200000,0.00002,0,100000,True
mistralai/magistral-small-2506,20250610,40000,0.0000005,0,40000,False
mistralai/magistral-medium-2506,20250608,40960,0.000002,0,40000,False
mistralai/magistral-medium-2506:thinking,20250608,40960,0.000002,0,40000,False
google/gemini-2.5-pro-preview,20250605,1048576,0.00000125,0,65536,False
sentientagi/dobby-mini-unhinged-plus-llama-3.1-8b,20250602,131072,0.0000002,0,,False
deepseek/deepseek-r1-distill-qwen-7b,20250530,131072,0.0000001,0,,False
deepseek/deepseek-r1-0528-qwen3-8b:free,20250529,131072,0,0,,False
deepseek/deepseek-r1-0528-qwen3-8b,20250529,131072,0.00000005,0,131072,False
deepseek/deepseek-r1-0528:free,20250528,163840,0,0,,False
deepseek/deepseek-r1-0528,20250528,128000,0.0000005,0,32768,False
sarvamai/sarvam-m:free,20250525,32768,0,0,,False
thedrummer/valkyrie-49b-v1,20250523,131072,0.0000005,0,131072,False
anthropic/claude-opus-4,20250522,200000,0.000015,0,32000,True
anthropic/claude-sonnet-4,20250522,200000,0.000003,0,64000,False
mistralai/devstral-small:free,20250521,131072,0,0,,False
mistralai/devstral-small,20250521,128000,0.00000006,0,,False
google/gemma-3n-e4b-it:free,20250520,8192,0,0,2048,False
google/gemini-2.5-flash-preview-05-20,20250520,1048576,0.00000015,0,65535,False
google/gemini-2.5-flash-preview-05-20:thinking,20250520,1048576,0.00000015,0,65535,False
openai/codex-mini,20250516,200000,0.0000015,0,100000,True
meta-llama/llama-3.3-8b-instruct:free,20250514,128000,0,0,4028,True
nousresearch/deephermes-3-mistral-24b-preview:free,20250509,32768,0,0,,False
mistralai/mistral-medium-3,20250507,32768,0.0000004,0,,False
google/gemini-2.5-pro-preview-05-06,20250506,1048576,0.00000125,0,65535,False
arcee-ai/caller-large,20250505,32768,0.00000055,0,,False
arcee-ai/spotlight,20250505,131072,0.00000018,0,65537,False
arcee-ai/maestro-reasoning,20250505,131072,0.0000009,0,32000,False
arcee-ai/virtuoso-large,20250505,131072,0.00000075,0,64000,False
arcee-ai/coder-large,20250505,32768,0.0000005,0,,False
arcee-ai/virtuoso-medium-v2,20250505,131072,0.0000005,0,32768,False
arcee-ai/arcee-blitz,20250505,32768,0.00000045,0,,False
microsoft/phi-4-reasoning-plus:free,20250501,32768,0,0,,False
microsoft/phi-4-reasoning-plus,20250501,32768,0.00000007,0,,False
microsoft/phi-4-reasoning:free,20250501,32768,0,0,,False
inception/mercury-coder-small-beta,20250430,32000,0.00000025,0,,False
opengvlab/internvl3-14b:free,20250430,12288,0,0,,False
opengvlab/internvl3-2b:free,20250430,12288,0,0,,False
deepseek/deepseek-prover-v2:free,20250430,163840,0,0,,False
deepseek/deepseek-prover-v2,20250430,131072,0.0000005,0,,False
meta-llama/llama-guard-4-12b,20250429,163840,0.00000005,0,,False
qwen/qwen3-30b-a3b:free,20250428,40960,0,0,,False
qwen/qwen3-30b-a3b,20250428,40960,0.00000008,0,40960,False
qwen/qwen3-8b:free,20250428,40960,0,0,40960,False
qwen/qwen3-8b,20250428,128000,0.000000035,0,20000,False
qwen/qwen3-14b:free,20250428,40960,0,0,,False
qwen/qwen3-14b,20250428,40960,0.00000006,0,40960,False
qwen/qwen3-32b:free,20250428,40960,0,0,,False
qwen/qwen3-32b,20250428,40960,0.0000001,0,,False
qwen/qwen3-235b-a22b:free,20250428,40960,0,0,,False
qwen/qwen3-235b-a22b,20250428,40960,0.00000013,0,40960,False
tngtech/deepseek-r1t-chimera:free,20250427,163840,0,0,,False
thudm/glm-z1-rumination-32b,20250425,32000,0.00000024,0,32000,False
microsoft/mai-ds-r1:free,20250420,163840,0,0,,False
thudm/glm-z1-32b:free,20250417,32768,0,0,,False
thudm/glm-z1-32b,20250417,32000,0.00000024,0,32000,False
thudm/glm-4-32b:free,20250417,32768,0,0,,False
thudm/glm-4-32b,20250417,32000,0.00000024,0,32000,False
google/gemini-2.5-flash-preview,20250417,1048576,0.00000015,0,65535,False
google/gemini-2.5-flash-preview:thinking,20250417,1048576,0.00000015,0,65535,False
openai/o4-mini-high,20250416,200000,0.0000011,0,100000,True
openai/o3,20250416,200000,0.000002,0,100000,True
openai/o4-mini,20250416,200000,0.0000011,0,100000,True
shisa-ai/shisa-v2-llama3.3-70b:free,20250415,32768,0,0,,False
openai/gpt-4.1,20250414,1047576,0.000002,0,32768,True
openai/gpt-4.1-mini,20250414,1047576,0.0000004,0,32768,True
openai/gpt-4.1-nano,20250414,1047576,0.0000001,0,32768,True
eleutherai/llemma_7b,20250414,4096,0.0000008,0,4096,False
alfredpros/codellama-7b-instruct-solidity,20250414,4096,0.0000008,0,4096,False
arliai/qwq-32b-arliai-rpr-v1:free,20250413,32768,0,0,,False
agentica-org/deepcoder-14b-preview:free,20250413,96000,0,0,,False
moonshotai/kimi-vl-a3b-thinking:free,20250410,131072,0,0,,False
x-ai/grok-3-mini-beta,20250409,131072,0.0000003,0,,False
x-ai/grok-3-beta,20250409,131072,0.000003,0,,False
nvidia/llama-3.3-nemotron-super-49b-v1:free,20250408,131072,0,0,,False
nvidia/llama-3.3-nemotron-super-49b-v1,20250408,131072,0.00000013,0,,False
nvidia/llama-3.1-nemotron-ultra-253b-v1:free,20250408,131072,0,0,,False
nvidia/llama-3.1-nemotron-ultra-253b-v1,20250408,131072,0.0000006,0,,False
meta-llama/llama-4-maverick:free,20250405,128000,0,0,,False
meta-llama/llama-4-maverick,20250405,1048576,0.00000015,0,16384,False
meta-llama/llama-4-scout:free,20250405,200000,0,0,,False
meta-llama/llama-4-scout,20250405,1048576,0.00000008,0,1048576,False
all-hands/openhands-lm-32b-v0.1,20250402,16384,0.0000026,0,4096,False
deepseek/deepseek-v3-base:free,20250329,163840,0,0,,False
scb10x/llama3.1-typhoon2-70b-instruct,20250328,8192,0.00000088,0,,False
google/gemini-2.5-pro-exp-03-25,20250325,1048576,0,0,65535,False
qwen/qwen2.5-vl-32b-instruct:free,20250324,8192,0,0,,False
qwen/qwen2.5-vl-32b-instruct,20250324,128000,0.0000009,0,,False
deepseek/deepseek-chat-v3-0324:free,20250324,163840,0,0,,False
deepseek/deepseek-chat-v3-0324,20250324,163840,0.0000003,0,,False
featherless/qwerky-72b:free,20250320,32768,0,0,4096,False
openai/o1-pro,20250319,200000,0.00015,0,100000,True
mistralai/mistral-small-3.1-24b-instruct:free,20250317,96000,0,0,96000,False
mistralai/mistral-small-3.1-24b-instruct,20250317,131072,0.00000005,0,,False
open-r1/olympiccoder-32b:free,20250315,32768,0,0,,False
google/gemma-3-1b-it:free,20250314,32768,0,0,8192,False
google/gemma-3-4b-it:free,20250313,96000,0,0,8192,False
google/gemma-3-4b-it,20250313,131072,0.00000002,0,,False
ai21/jamba-1.6-large,20250313,256000,0.000002,0,4096,False
ai21/jamba-1.6-mini,20250313,256000,0.0000002,0,4096,False
google/gemma-3-12b-it:free,20250313,96000,0,0,8192,False
google/gemma-3-12b-it,20250313,131072,0.00000005,0,,False
cohere/command-a,20250313,256000,0.0000025,0,8192,True
openai/gpt-4o-mini-search-preview,20250312,128000,0.00000015,0.0275,16384,True
openai/gpt-4o-search-preview,20250312,128000,0.0000025,0.035,16384,True
rekaai/reka-flash-3:free,20250312,32768,0,0,,False
google/gemma-3-27b-it:free,20250312,96000,0,0,8192,False
google/gemma-3-27b-it,20250312,131072,0.0000001,0,16384,False
thedrummer/anubis-pro-105b-v1,20250310,131072,0.0000008,0,131072,False
thedrummer/skyfall-36b-v2,20250310,32768,0.0000005,0,32768,False
microsoft/phi-4-multimodal-instruct,20250307,131072,0.00000005,0,,False
perplexity/sonar-reasoning-pro,20250306,128000,0.000002,0,,False
perplexity/sonar-pro,20250306,200000,0.000003,0,8000,False
perplexity/sonar-deep-research,20250306,128000,0.000002,0,,False
deepseek/deepseek-r1-zero:free,20250306,163840,0,0,,False
qwen/qwq-32b:free,20250305,40000,0,0,40000,False
qwen/qwq-32b,20250305,131072,0.00000015,0,,False
nousresearch/deephermes-3-llama-3-8b-preview:free,20250228,131072,0,0,,False
openai/gpt-4.5-preview,20250227,128000,0.000075,0,16384,True
google/gemini-2.0-flash-lite-001,20250225,1048576,0.000000075,0,8192,False
anthropic/claude-3.7-sonnet,20250224,200000,0.000003,0,64000,False
anthropic/claude-3.7-sonnet:beta,20250224,200000,0.000003,0,128000,False
anthropic/claude-3.7-sonnet:thinking,20250224,200000,0.000003,0,128000,True
perplexity/r1-1776,20250219,128000,0.000002,0,,False
mistralai/mistral-saba,20250217,32768,0.0000002,0,,False
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,20250213,32768,0,0,,False
cognitivecomputations/dolphin3.0-mistral-24b:free,20250213,32768,0,0,,False
meta-llama/llama-guard-3-8b,20250212,131072,0.00000002,0,,False
openai/o3-mini-high,20250212,200000,0.0000011,0,100000,True
deepseek/deepseek-r1-distill-llama-8b,20250207,32000,0.00000004,0,32000,False
google/gemini-2.0-flash-001,20250205,1048576,0.0000001,0,8192,False
qwen/qwen-vl-plus,20250205,7500,0.00000021,0,1500,False
aion-labs/aion-1.0,20250204,131072,0.000004,0,32768,False
aion-labs/aion-1.0-mini,20250204,131072,0.0000007,0,32768,False
aion-labs/aion-rp-llama-3.1-8b,20250204,32768,0.0000002,0,32768,False
qwen/qwen-vl-max,20250201,7500,0.0000008,0,1500,False
qwen/qwen-turbo,20250201,1000000,0.00000005,0,8192,False
qwen/qwen2.5-vl-72b-instruct:free,20250201,131072,0,0,2048,False
qwen/qwen2.5-vl-72b-instruct,20250201,32000,0.00000025,0,,False
qwen/qwen-plus,20250201,131072,0.0000004,0,8192,False
qwen/qwen-max,20250201,32768,0.0000016,0,8192,False
